day,hits,views,bandwidth
2020-05-15,5,1,16392
2020-05-25,477,270,6480786
2020-05-26,103,58,2344334
2020-05-27,388,233,8978579
2020-05-28,186,120,3785416
2020-05-29,28,22,338813
2020-05-30,301,296,15777782
2020-05-31,9,7,210467
2020-06-01,4,4,7467
2020-06-02,9,9,11475
2020-06-03,33,23,841875
2020-06-04,8,6,114306
2020-06-05,22,17,359717
2020-06-06,14,10,305758
2020-06-07,9,8,111345
2020-06-08,7,6,221797
2020-06-09,12,10,218429
2020-06-10,5,5,103970
2020-06-11,2,2,123041
2020-06-12,7,6,109825
2020-06-14,14,9,332324
2020-06-15,9,6,211862
2020-06-16,17,15,126417
2020-06-17,19,17,1122588
2020-06-18,45,45,7931680
2020-06-19,125,123,30215249
2020-06-20,105,103,19886438
2020-06-21,62,59,9672265
2020-06-22,15,15,1111519
2020-06-23,18,18,1021037
2020-06-24,80,74,13095757
2020-06-25,43,36,1446582
2020-06-26,26,24,1359794
2020-06-27,57,52,8427826
2020-06-28,22,18,2346954
2020-06-29,19,19,1762210
2020-06-30,16,16,1315008
2020-07-01,75,38,3250493
2020-07-02,27,24,689682
2020-07-03,37,35,2108588
2020-07-04,222,220,18968238
2020-07-05,123,123,8777304
2020-07-06,15,15,783561
2020-07-07,32,30,845495
2020-07-08,41,41,2276044
2020-07-09,24,21,146966
2020-07-10,13,11,123113
2020-07-11,82,39,1950263
2020-07-12,8,8,70361
2020-07-13,12,12,18049
2020-07-14,21,7,898765
2020-07-15,16,7,477952
2020-07-17,2,2,2381
2020-07-18,2,2,2660
2020-07-19,2,2,4737
2020-07-20,8,8,282679
2020-07-21,10,10,721577
2020-07-22,16,11,1434631
2020-07-23,13,13,408605
2020-07-24,13,13,1189237
2020-07-25,8,8,542184
2020-07-26,10,10,816299
2020-07-27,7,7,200431
2020-07-28,21,21,733058
2020-07-29,24,24,1830076
2020-07-30,16,16,835070
2020-07-31,9,9,607656
2020-08-01,14,14,2027197
2020-08-02,13,13,850578
2020-08-03,7,7,414561
2020-08-04,18,15,550906
2020-08-05,6,6,163970
2020-08-06,10,10,370438
2020-08-08,14,14,1000069
2020-08-09,3,3,82618
2020-08-10,7,7,480537
2020-08-11,17,14,570365
2020-08-12,35,4,1110708
2020-08-13,155,154,12910639
2020-08-14,8,7,82785
2020-08-15,4,4,101855
2020-08-16,8,8,12095
2020-08-17,4,4,4782
2020-08-18,3,3,11669
2020-08-19,8,8,65697
2020-08-20,10,10,405974
2020-08-21,17,16,222326
2020-08-22,1,1,1038
2020-08-23,4,3,53058
2020-08-24,4,4,295763
2020-08-25,3,3,398085
2020-08-26,6,6,319633
2020-08-27,8,4,113416
2020-08-28,5,4,760577
2020-08-30,6,6,257586
2020-08-31,1,1,99353
2020-09-01,1,1,150832
2020-09-02,1,1,1038
2020-09-05,2,2,118584
2020-09-06,1,1,395989
2020-09-07,6,6,84488
2020-09-08,2,2,4816
2020-09-09,1,1,90984
2020-09-10,127,66,2495633
2020-09-11,36,26,498295
2020-09-12,2,2,3581
2020-09-13,4,4,4763
2020-09-14,3,3,2577
2020-09-15,12,12,14099
2020-09-16,5,5,5838
2020-09-17,4,4,4968
2020-09-18,8,8,8368
2020-09-20,4,4,5523
2020-09-22,2,2,2805
2020-09-23,11,11,14816
2020-09-28,22,16,31880
2020-09-29,7,6,9717
2020-10-01,5,5,5064
2020-10-02,4,4,3824
2020-10-03,2,2,2623
2020-10-04,2,2,5096
2020-10-05,2,2,2086
2020-10-06,18,9,179648
2020-10-07,6,5,13089
2020-10-08,4,3,5960
2020-10-12,7,7,6979
2020-10-14,24,20,125075
2020-10-15,12,9,9625
2020-10-17,3,3,2835
2020-10-18,3,2,6055
2020-10-19,3,3,2835
2020-10-20,1,1,1398
2020-10-21,12,11,16811
2020-10-22,2,2,1890
2020-10-31,1,1,940
2020-11-01,1,1,945
2020-11-02,3,3,3236
2020-11-04,34,5,34903
2020-11-05,26,19,181535
2020-11-09,3,3,5665
2020-11-10,2,2,1890
2020-11-11,2,2,2297
2020-11-12,3,3,2830
2020-11-13,3,3,2830
2020-11-14,1,1,940
2020-11-15,3,3,119815
2020-11-16,3,3,2451
2020-11-17,2,2,1890
2020-11-18,2,2,1880
2020-11-21,1,1,940
2020-11-22,2,2,2305
2020-11-23,1,1,1367
