day,hits,views,bandwidth
2020-08-04,1417,242,10167537
2020-08-05,607,134,4113276
2020-08-06,411,93,4418962
2020-08-07,56,56,249076
2020-08-08,31,31,133229
2020-08-09,72,16,403146
2020-08-10,27,25,23296
2020-08-11,71,12,134434
2020-08-12,2,2,2407
2020-08-13,6,6,4993
2020-08-14,48,43,976288
2020-08-15,852,122,2372261
2020-08-16,8,7,30613
2020-08-17,67,19,189163
2020-08-18,5,5,6382
2020-08-19,12,12,60594
2020-08-20,7,6,6829
2020-08-21,4,3,3264
2020-08-22,5,4,24100
2020-08-23,4,4,4010
2020-08-25,15,15,69152
2020-08-26,21,20,46636
2020-08-27,6,6,10145
2020-08-28,9,8,19599
2020-08-29,5,4,24390
2020-08-30,20,10,104872
2020-08-31,2,1,5397
2020-09-01,4,4,17477
2020-09-02,6,6,55084
2020-09-03,3,3,29492
2020-09-05,2,2,1596
2020-09-06,8,8,39896
2020-09-07,7,7,32014
2020-09-08,6,5,23159
2020-09-09,9,9,70031
2020-09-11,5,5,25700
2020-09-12,2,2,1803
2020-09-13,4,4,189662
2020-09-14,8,8,10856
2020-09-15,11,11,87994
2020-09-16,6,6,38623
2020-09-17,3,3,13125
2020-09-18,3,2,2466
2020-09-19,7,5,35211
2020-09-20,39,11,120580
2020-09-21,3,3,13224
2020-09-22,3,3,3525
2020-09-23,6,6,25539
2020-09-24,1,1,3497
2020-09-25,3,3,15696
2020-09-26,6,6,28838
2020-09-27,4,4,18479
2020-09-28,4,3,3338
2020-09-29,10,10,41864
2020-09-30,6,6,21430
2020-10-01,5,5,31238
2020-10-02,9,9,49869
2020-10-03,5,5,22823
2020-10-04,5,5,38546
2020-10-05,4,3,17553
2020-10-06,3,2,36675
2020-10-07,1,1,8316
2020-10-08,5,5,9060
2020-10-09,5,5,54786
2020-10-10,6,6,34350
2020-10-11,2,2,3246
2020-10-13,7,7,38196
2020-10-14,7,6,27770
2020-10-15,6,6,28452
2020-10-16,9,9,28478
2020-10-17,5,5,17687
2020-10-18,6,6,22762
2020-10-19,7,7,32192
2020-10-20,4,4,6450
2020-10-21,2,2,2428
2020-10-22,3,3,3297
2020-10-23,4,4,18245
2020-10-24,1,1,870
2020-10-25,12,11,44132
2020-10-26,60,13,173788
2020-10-27,110,34,224662
2020-10-28,2,2,1596
2020-10-29,3,3,6881
2020-10-30,3,3,4206
2020-10-31,3,3,4248
2020-11-01,5,5,14334
2020-11-02,8,8,38741
2020-11-03,1676,242,12451880
2020-11-04,225,77,379658
2020-11-05,1652,197,19948160
2020-11-06,66,36,257439
2020-11-07,45,15,122293
2020-11-08,440,116,3022837
2020-11-09,308,82,1463534
2020-11-10,5,4,20722
2020-11-11,3,3,2975
2020-11-12,3,3,2400
2020-11-14,4,4,3708
2020-11-15,1,1,800
2020-11-16,6,4,5979
2020-11-17,6,5,11242
2020-11-20,104,29,227258
2020-11-24,3,2,2990
2020-11-26,575,182,2394351
2020-11-28,178,42,717209
2020-12-01,738,88,525716
2020-12-02,176,47,222986
2020-12-03,25,19,49144
2020-12-04,100,29,116507
2020-12-06,5,5,4901
2020-12-08,6,5,5841
2020-12-09,2,2,1600
2020-12-10,3,3,2575
2020-12-11,1,1,838
2020-12-12,7,6,6394
2020-12-13,19,17,25350
2020-12-15,2,2,1734
2020-12-16,29,27,65790
2020-12-17,57,53,305150
2020-12-18,27,26,85473
2020-12-19,7,6,20017
2020-12-20,1,1,16905
2020-12-21,43,43,607841
2020-12-22,32,31,414569
2020-12-23,9,8,86761
2020-12-24,6,6,4800
2020-12-25,5,5,95955
2020-12-26,10,9,55232
2020-12-27,15,15,68879
2020-12-28,5,4,29692
2020-12-29,7,7,45867
2020-12-30,55,13,183916
2020-12-31,14,13,22797
2021-01-01,65,11,572463
2021-01-02,2,2,1744
2021-01-03,4,4,59025
2021-01-05,6,6,53986
2021-01-06,4,3,56692
2021-01-08,2,1,30368
2021-01-09,9,9,64570
2021-01-10,290,58,3951006
2021-01-11,7,6,6565
2021-01-12,2,2,4860
2021-01-13,38,3,652064
2021-01-15,8,5,4794
2021-01-17,70,36,656166
2021-01-18,128,24,1833769
2021-01-19,16,10,36143
2021-01-20,671,121,7176120
2021-01-21,11,11,56383
2021-01-22,96,26,434530
2021-01-23,78,24,443674
2021-01-24,36,10,104839
2021-01-25,11,6,96198
2021-01-26,5,5,51873
2021-01-27,5,5,59522
2021-01-28,7,7,6104
2021-01-29,7,7,10631
2021-01-30,3,3,2427
2021-01-31,60,15,57225
2021-02-01,17,17,54071
2021-02-02,20,20,23081
2021-02-03,20,20,249624
2021-02-04,6,5,4944
2021-02-05,9,9,27072
2021-02-06,5,5,4360
2021-02-07,171,31,2221918
2021-02-08,20,12,159410
2021-02-09,7,6,30604
2021-02-10,13,6,158744
2021-02-11,5,5,29611
2021-02-12,7,7,56971
2021-02-13,3,3,42310
2021-02-14,6,6,15186
2021-02-15,6,6,32671
2021-02-16,1,1,1903
2021-02-17,10,6,9430
2021-02-18,10,10,55807
2021-02-19,10,9,16986
2021-02-22,8,7,116152
2021-02-23,4,4,22169
2021-02-24,1,1,1903
2021-02-25,8,8,14576
2021-02-26,7,6,6788
2021-02-27,20,17,21859
2021-02-28,16,15,50689
2021-03-01,9,9,27312
2021-03-02,13,10,16654
2021-03-03,9,9,12468
2021-03-04,10,10,9606
2021-03-05,9,9,39749
2021-03-06,26,21,60006
2021-03-07,10,10,19025
2021-03-08,26,18,57426
2021-03-09,11,11,21399
2021-03-10,19,17,78947
2021-03-11,4,4,3983
2021-03-12,13,10,61349
2021-03-13,4,4,6212
2021-03-14,19,18,106386
2021-03-15,7,7,18035
2021-03-16,4,4,3334
2021-03-17,10,8,25836
2021-03-18,5,4,17648
2021-03-19,11,11,10945
2021-03-20,14,13,25022
2021-03-21,10,9,21796
2021-03-22,15,14,114868
2021-03-23,6,6,11752
2021-03-24,19,18,164488
2021-03-25,14,13,121832
2021-03-26,157,31,565824
2021-03-27,24,10,97207
2021-03-28,7,7,15406
2021-03-29,12,12,20621
2021-03-30,2,2,2189
2021-03-31,7,7,52550
2021-04-01,10,10,37310
2021-04-02,10,10,38778
2021-04-03,12,12,19818
2021-04-04,5,5,9574
2021-04-05,7,7,5064
2021-04-06,4,4,3572
2021-04-07,2,2,2836
2021-04-08,28,21,86401
2021-04-09,13,13,38509
2021-04-10,13,12,22856
2021-04-11,28,8,24471
2021-04-12,25,23,147286
2021-04-13,64,32,219066
2021-04-14,19,19,50387
2021-04-15,26,26,142834
2021-04-16,21,21,46803
2021-04-17,20,20,90994
2021-04-18,28,28,61888
2021-04-19,21,20,40601
2021-04-20,24,24,81821
2021-04-21,29,29,134081
2021-04-22,27,27,65565
2021-04-23,32,32,79563
2021-04-24,28,28,40197
2021-04-25,23,23,130506
2021-04-26,39,36,49780
2021-04-27,33,31,53966
2021-04-28,19,19,57662
2021-04-29,64,33,116974
2021-04-30,176,173,1262974
2021-05-01,272,271,2852374
2021-05-02,5,5,17935
2021-05-03,10,9,15595
2021-05-04,16,16,58377
2021-05-05,17,14,31560
2021-05-06,19,19,86257
2021-05-07,20,20,31146
2021-05-08,10,10,47483
2021-05-09,17,17,27675
2021-05-10,18,18,37107
2021-05-11,12,12,19826
2021-05-12,12,10,11203
2021-05-13,14,14,35879
2021-05-14,10,10,18063
2021-05-15,8,8,22998
2021-05-16,32,17,35595
2021-05-17,16,16,44935
2021-05-18,8,8,17881
2021-05-19,11,11,29986
2021-05-20,17,17,29715
2021-05-21,13,12,17589
2021-05-22,11,9,11179
2021-05-23,9,9,16287
