day,hits,views,bandwidth
2020-04-16,31,24,42789
2020-04-18,98,83,137705
2020-04-19,27,25,23121
2020-04-20,5,5,3818
2020-04-22,4,4,4107
2020-04-23,8,8,7433
2020-04-24,8,8,6800
2020-04-25,5,5,4491
2020-04-26,3,3,4564
2020-04-27,2,1,1864
2020-04-29,2,2,2699
2020-04-30,5,5,5005
2020-05-01,15,14,12614
2020-05-02,8,6,19265
2020-05-03,2,2,2578
2020-05-04,4,4,3671
2020-05-05,3,2,1737
2020-05-06,6,6,5915
2020-05-07,4,4,4010
2020-05-08,5,5,4876
2020-05-09,1,1,898
2020-05-10,4,4,2900
2020-05-11,27,24,23978
2020-05-12,8,6,6530
2020-05-13,1,1,898
2020-05-15,21,15,19075
2020-05-16,3,3,2558
2020-05-17,2,2,2028
2020-05-18,1,1,980
2020-05-19,1,1,1883
2020-05-20,1,1,980
2020-05-21,2,2,2066
2020-05-23,5,5,6209
2020-05-24,1,1,1883
2020-05-25,1,1,1890
2020-05-28,6,6,7305
2020-06-01,3,3,3201
2020-06-03,8,7,7880
2020-06-07,5,5,5415
2020-06-09,1,1,1890
2020-06-10,2,2,1487
2020-06-13,6,4,8629
2020-06-14,2,2,2214
2020-06-17,12,12,12601
2020-06-18,2,2,2176
2020-06-19,3,3,2423
2020-06-25,6,5,5097
2020-06-26,3,3,3194
2020-06-29,2,2,1570
2020-07-01,3,3,3194
2020-07-02,3,3,3455
2020-07-07,5,5,5422
2020-07-11,3,3,2420
2020-07-12,2,2,1994
2020-07-13,8,8,9056
2020-07-14,3,3,3201
2020-07-15,15,15,17778
2020-07-16,11,11,12679
2020-07-17,7,7,8357
2020-07-18,1,1,1890
2020-07-19,3,3,3194
2020-07-20,1,1,923
2020-07-21,2,2,2221
2020-07-22,2,2,2806
2020-07-23,2,2,2958
2020-07-24,2,2,3001
2020-07-25,1,1,709
2020-07-26,3,3,3430
2020-07-27,2,2,2203
2020-07-28,6,6,7188
2020-07-29,3,3,3603
2020-07-30,4,4,5815
2020-07-31,2,2,2813
2020-08-02,5,5,7169
2020-08-05,8,8,10168
2020-08-06,2,2,2157
2020-08-07,1,1,1883
2020-08-08,7,6,7320
2020-08-09,3,3,3455
2020-08-10,2,2,3124
2020-08-11,5,5,5365
2020-08-13,3,3,3405
2020-08-14,1,1,923
2020-08-17,4,4,4427
2020-08-20,1,1,923
2020-08-21,6,5,6216
2020-08-22,7,7,7450
2020-08-24,2,1,2176
2020-08-25,5,5,5465
2020-08-26,2,1,1926
2020-08-27,6,6,7103
2020-08-28,3,3,3916
2020-08-29,7,7,7636
2020-08-30,3,3,3672
2020-09-01,2,2,2003
2020-09-03,5,5,5350
2020-09-04,6,6,6345
2020-09-09,3,3,3455
2020-09-12,5,5,5422
2020-09-13,2,2,3015
2020-09-15,6,5,6332
2020-09-16,2,2,2806
2020-09-17,3,3,3237
2020-09-18,5,5,5047
2020-09-19,1,1,1883
2020-09-20,1,1,564
2020-09-21,32,6,24017
2020-09-22,6,6,6351
2020-09-23,3,3,3194
2020-09-24,6,6,6162
2020-09-25,1,1,923
2020-09-26,3,3,4104
2020-09-28,2,2,2157
2020-09-29,5,5,5422
2020-09-30,2,2,2028
2020-10-01,4,4,5233
2020-10-02,3,2,3918
2020-10-04,2,2,2028
2020-10-05,1,1,1382
2020-10-06,3,3,3235
2020-10-07,1,1,1890
2020-10-08,5,5,5415
2020-10-10,2,1,2028
2020-10-11,1,1,1890
2020-10-12,3,3,2951
2020-10-15,2,2,1487
2020-10-17,4,4,4056
2020-10-18,2,2,2035
2020-10-19,2,2,1487
2020-10-20,3,2,2459
2020-10-23,1,1,923
2020-10-26,4,4,4231
2020-10-27,2,2,2035
2020-10-28,2,1,2035
2020-10-29,3,3,3430
2020-10-30,1,1,1234
2020-10-31,1,1,709
2020-11-01,2,1,2028
2020-11-02,3,1,5722
2020-11-04,4,4,5899
2020-11-05,1,1,709
2020-11-06,2,1,2028
2020-11-09,5,5,5415
2020-11-11,35,8,26524
2020-11-12,6,6,6655
2020-11-13,8,8,8623
2020-11-14,2,2,2028
2020-11-16,6,6,6534
2020-11-17,3,3,3694
2020-11-18,8,8,9128
