day,hits,views,bandwidth
2020-05-15,44,29,83521
2020-05-18,1,1,1001
2020-05-20,76,73,3323675
2020-05-21,113,101,150352
2020-05-22,9,9,8990
2020-05-23,15,13,16923
2020-05-24,10,10,10987
2020-05-25,2,2,2450
2020-05-26,15,15,21758
2020-05-27,2,2,3572
2020-05-28,32,32,738022
2020-05-29,6,6,7794
2020-05-30,11,11,16974
2020-05-31,7,7,13539
2020-06-01,4,4,16286
2020-06-02,3,3,4811
2020-06-03,7,7,19414
2020-06-04,3,3,3205
2020-06-05,7,7,11317
2020-06-06,30,27,1376514
2020-06-07,3,3,3308
2020-06-08,6,6,38765
2020-06-09,2,2,2142
2020-06-10,6,6,7077
2020-06-11,4,4,4641
2020-06-15,7,7,7527
2020-06-16,22,22,31158
2020-06-17,20,20,1524296
2020-06-18,20,20,1398779
2020-06-19,16,16,465262
2020-06-20,56,52,2688741
2020-06-21,41,37,623757
2020-06-22,26,25,3597366
2020-06-23,23,23,23546
2020-06-24,72,66,1592574
2020-06-25,30,28,58560
2020-06-26,48,42,2097121
2020-06-27,27,25,49929
2020-06-28,213,199,25306429
2020-06-29,6,6,7703
2020-06-30,8,8,2223964
2020-07-01,1,1,434
2020-07-02,1,1,434
2020-07-03,3,3,2737
2020-07-04,232,229,21005887
2020-07-05,158,157,22226841
2020-07-06,2,2,2196
2020-07-07,24,23,1222021
2020-07-08,5,5,6513
2020-07-09,18,17,23352
2020-07-10,5,5,4213
2020-07-11,2,2,868
2020-07-12,1,1,434
2020-07-13,5,5,7556
2020-07-14,1,1,434
2020-07-15,6,6,8508
2020-07-16,5,5,5795
2020-07-17,13,13,16165
2020-07-18,5,5,7762
2020-07-19,15,14,18250
2020-07-20,2,2,3266
2020-07-21,15,15,455970
2020-07-22,4,4,3684
2020-07-23,5,5,6961
2020-07-24,5,5,6947
2020-07-25,10,10,14951
2020-07-26,1,1,3262
2020-07-27,3,3,4309
2020-07-28,13,13,21657
2020-07-29,2,2,2268
2020-07-30,3,3,2355
2020-07-31,6,6,452299
2020-08-01,48,48,2078697
2020-08-02,77,69,655036
2020-08-03,33,30,1140210
2020-08-04,8,7,457205
2020-08-05,15,15,29306
2020-08-06,15,15,577628
2020-08-07,4,4,6414
2020-08-08,1,1,434
2020-08-09,7,6,10322
2020-08-10,90,89,20201549
2020-08-11,5,4,16958
2020-08-12,2,2,2220
2020-08-13,8,8,11531
2020-08-14,20,19,507014
2020-08-15,6,6,9376
2020-08-16,3,3,5019
2020-08-17,4,4,5757
2020-08-18,2,2,2427
2020-08-19,2,2,4366
2020-08-20,7,7,8053
2020-08-21,12,12,13320
2020-08-22,19,15,15593
2020-08-24,15,14,20830
2020-08-25,5,5,6646
2020-08-26,5,5,7832
2020-08-27,11,11,1979622
2020-08-28,6,6,6599
2020-08-29,62,57,3172520
2020-08-30,8,8,11365
2020-08-31,17,17,912586
2020-09-01,30,29,1891365
2020-09-02,15,13,588011
2020-09-03,13,13,451704
2020-09-04,10,9,214336
2020-09-05,4,4,3413
2020-09-06,3,3,2923
2020-09-07,11,11,45273
2020-09-09,10,10,17005
2020-09-10,12,12,20461
2020-09-11,1,1,435
2020-09-12,2,2,1942
2020-09-13,10,10,14238
2020-09-14,10,9,16592
2020-09-15,3,3,3803
2020-09-16,14,13,17330
2020-09-17,72,71,20087790
2020-09-18,4,3,6677
2020-09-19,8,8,469436
2020-09-20,40,38,79702
2020-09-21,73,44,3730600
2020-09-22,11,11,465455
2020-09-23,12,12,20259
2020-09-24,4,4,10496
2020-09-25,3,3,5251
2020-09-27,26,26,557537
2020-09-29,3,3,4521
2020-09-30,5,5,110791
2020-10-01,23,22,2963229
2020-10-03,10,10,898034
2020-10-04,3,2,2366
2020-10-05,14,14,465795
2020-10-06,5,5,9098
2020-10-07,18,17,1387599
2020-10-08,5,4,8435
2020-10-09,18,17,1835538
2020-10-10,26,23,2747598
2020-10-11,3,3,4867
2020-10-12,96,94,1179426
2020-10-13,6,6,14325
2020-10-15,2,2,997
2020-10-16,5,4,9734
2020-10-17,3,3,577012
2020-10-18,2,2,886690
2020-10-19,5,5,1333131
2020-10-20,138,136,24498290
2020-10-21,86,82,6006931
2020-10-22,34,34,3814031
2020-10-23,125,114,33014839
2020-10-24,65,64,7107308
2020-10-25,114,113,20248170
2020-10-26,89,83,3512366
2020-10-27,100,97,13014245
2020-10-28,83,79,12467527
2020-10-29,94,86,2054522
2020-10-30,42,41,2721956
2020-10-31,50,47,3581867
2020-11-01,62,36,659865
2020-11-02,24,19,1462048
2020-11-03,10,10,127030
2020-11-04,25,23,7108534
2020-11-05,21,20,28423
2020-11-06,5,4,4287
2020-11-07,19,19,1262622
2020-11-08,23,21,1277771
2020-11-09,31,30,1847370
2020-11-10,30,25,10776856
2020-11-11,14,14,48489
2020-11-12,94,93,5059602
2020-11-13,22,22,1595278
2020-11-14,30,30,175109
2020-11-15,17,15,50985
2020-11-16,44,42,4912276
2020-11-17,43,42,1981709
2020-11-18,41,38,100694
2020-11-19,58,57,7224781
2020-11-20,31,29,389257
2020-11-21,62,59,3822577
2020-11-23,59,55,3805552
2020-11-24,6,5,10259
2020-11-25,14,13,50501
2020-11-26,16,14,2462004
2020-11-27,20,18,494743
2020-11-28,6,5,15544
2020-11-29,17,16,477843
2020-11-30,11,10,20359
2020-12-01,15,15,32907
2020-12-02,25,23,448628
2020-12-03,10,9,24012
2020-12-04,66,50,2473096
2020-12-05,26,26,535524
2020-12-06,56,48,21752286
2020-12-07,6,6,6907
2020-12-08,17,17,55487
2020-12-09,14,12,16891
2020-12-10,15,15,1927418
2020-12-11,90,86,4149010
2020-12-12,58,50,810299
2020-12-13,22,20,100923
2020-12-14,33,31,4609254
2020-12-15,50,44,11397391
