day,hits,views,bandwidth
2020-05-18,15,12,24116
2020-05-20,9,9,6352
2020-05-21,1,1,1128
2020-05-24,2,2,2051
2020-05-27,6,6,4580
2020-05-30,2,2,1759
2020-06-02,5,5,2760
2020-06-06,4,3,2226
2020-06-09,2,2,1990
2020-06-10,2,2,2051
2020-06-19,2,2,1432
2020-06-29,2,2,2051
2020-07-15,2,2,2051
2020-07-21,49,39,42460
2020-07-22,25,22,30489
2020-07-23,7,7,6409
2020-07-24,5,4,4629
2020-07-25,2,1,1594
2020-07-26,18,5,17245
2020-07-27,10,9,9152
2020-07-28,8,7,18904
2020-07-29,8,8,7356
2020-07-30,5,5,4562
2020-07-31,90,71,216957
2020-08-01,12,7,21879
2020-08-02,10,10,14922
2020-08-03,28,27,30599
2020-08-04,55,55,44209
2020-08-05,37,30,101913
2020-08-06,17,17,75496
2020-08-07,12,12,101948
2020-08-08,26,26,173356
2020-08-09,26,26,143409
2020-08-10,39,39,209466
2020-08-11,50,49,458637
2020-08-12,72,72,750939
2020-08-13,37,37,70009
2020-08-14,18,17,96899
2020-08-15,16,16,83413
2020-08-16,5,5,7384
2020-08-17,8,8,20876
2020-08-18,11,11,10673
2020-08-19,9,9,11336
2020-08-20,11,11,15207
2020-08-21,3,3,2698
2020-08-22,53,37,99476
2020-08-23,6,6,6940
2020-08-24,18,18,31455
2020-08-25,8,8,7445
2020-08-26,1,1,1132
2020-08-27,6,6,6082
2020-08-28,2,2,1733
2020-08-29,21,21,129524
2020-08-30,8,7,15422
2020-08-31,3,3,2709
2020-09-01,86,69,358256
2020-09-02,12,11,21845
2020-09-03,23,23,23604
2020-09-04,12,12,50454
2020-09-05,6,6,7024
2020-09-06,5,4,4196
2020-09-07,4,4,6839
2020-09-08,3,3,3403
2020-09-09,6,6,16414
2020-09-10,4,4,7952
2020-09-11,3,3,2608
2020-09-12,1,1,1395
2020-09-13,15,14,34059
2020-09-14,5,4,4258
2020-09-15,10,10,17268
2020-09-16,4,4,4435
2020-09-17,8,8,26810
2020-09-18,6,6,15642
